No.,Nama Instagram,Tweet,Sentimen,Sarkas,Sentimen_Sarkas
66,@adhiprasetyop,"""Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.""",1,Sarkas,-1
67,@nadhiya_za,"""Semoga lancar terus usahanya mel""",1,Tidak,1
68,@riaros,"""Cantik banget kalo meldi muka natural kek gini""",1,Tidak,1
69,@lialiya25,"""Lu diem aja cantik mel kalo ga banyak gaya serius""",1,Tidak,1
70,@dianaherdani18,"""Kaku kek kanebo kering hahaha""",-1,,-1
71,@priskaaben,"""Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say""",1,Tidak,1
72,@apelu.liat2,"""Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek""",-1,,-1
73,@arjhunot,"""Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh""",-1,,-1
74,@meta_fira,"""Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip""",-1,,-1
75,@adeellristi13_,"""Jangan semangat fer tetap menyerah""",1,Sarkas,-1
76,@shinlamanepa,"""Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?""",1,Sarkas,-1
77,@ajilpoo_,"""Tiap mau makan dibikin ama jess tpi malah…. haha gila sih""",1,Sarkas,-1
78,@lukmanul.16,"""Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo""",1,Sarkas,-1
79,@jannahfamily1111,"""Mukanya kalau gak dibantu kamera dekil dan kumel""",-1,,-1
80,@vrtma24,"""Ini adalah foto babi sedang memeluk anjing yg pemilik nya adalah bidadari""",1,Sarkas,-1
81,@liviarmdhy,"""SESAMA BINATANG FOTO BAIK BAIK YA""",1,Sarkas,-1
82,@fckngmelowedtz_,"""HEH UDH NAPA HATE NYA CAPE GW BACA NYA""",1,Sarkas,-1
83,@effa.kejora,"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",1,Tidak,1
84,@_goshop24,"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",1,Sarkas,-1
85,@umawww_,"""Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica""",1,Sarkas,-1
86,@immjeafhlvi_,"""Anjing sekarang hebat ya, bisa pake kacamata""",1,Sarkas,-1
87,@syafafalasifah,"""Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa""",1,Sarkas,-1
88,@aii_rinz95,"""Gila suara lu udah bagus mel, tinggal lu pake skincare aja anjayy""",1,Sarkas,-1
89,@dwiengine,"""Bagusan pantat panci aing atuh anjir""",-1,,-1
90,@evilsilviani27,"""Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,""",-1,,-1
91,@naviafadia,"""Kok mbak meldi sekarang tambah cantik ya rahasianya apa..""",1,Tidak,1
92,@lee406132,"""Lengannya gempal banget sih HAHA""",-1,,-1
93,@ummuhumairoh__,"""Fix yang komen semua nyela""",-1,,-1
94,@mareeet30,"""Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya""",1,Tidak,1
95,@rifkohalim,"""Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener""",-1,,1
96,@ooohh_vhie,"""Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi""",-1,,-1
97,@fannyyyyk,"""Semua wanita cantik, jangan suka merasa lebih ah""",1,Tidak,1
98,@najla.yoo,"""Hai kak Isyana aku ngefans banget sama kak Isyana. aku paling suka banget dengerin lagu kaka yang judulnya teman hidup""",1,Tidak,1
99,@depoy110,"""Udah ganteng sekarang banyak yang endorse tapi sayang otaknya gatau dimana lu lutfi""",1,Sarkas,-1
100,@farsyahl_,"""Idih lutfi, asik banget ngobrol sama lu kayanya, kalo gua ada di posisi om ded gua dah gua smekdon @lutfiagizal""",1,Sarkas,-1
101,@hijabmurah.reseller,"""cewe cakep, setia kok disia sia in sahabat""",1,Sarkas,-1
102,@juniartibs,"""Gila Netizen pada sempurna ngehina orang terus""",1,Sarkas,-1
103,@zulfaqinan,"""Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik""",-1,,-1
104,@dona_pitria,"""Karena muka kayak elo pasaran dan murah…""",-1,,-1
105,@nia_5446,"""Muka buluk kepedean lagi.. muka udah tua""",-1,,-1
106,@tita.titt,"""Muka lu kaya tai wkwkwk""",-1,,-1
107,@harishshandi,"""Sakit jiwa ini upil gajah… Kasihan""",-1,,-1
108,@sila.putri.526,"""Jelek macam buntut kuali hahaha""",-1,,-1
109,@lasi1977,"""Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…""",1,Tidak,1
110,@anisa_lubis12,"""Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya, kalo wajah lu gausah ditanya ga ada bedanya""",1,Sarkas,-1
111,@maryamcici29,"""Mbak mell sehat dan sukses ya""",1,Tidak,1
112,@misscahyani,"""Aamiin. Doa baik juga untuk Meldi""",1,Tidak,1
113,@vito_adn07,"""Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin""",1,Tidak,1
114,@prelovedbabyzee_,"""Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip""",1,Tidak,1
115,@tkp995,"""Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum""",-1,,-1
116,@andipulau123,"""Nggak ada cantik-cantik nya hahaha""",-1,,-1
117,@pmonaapr,"""Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini""",-1,,-1
118,@dongo20200,"""Lama lama mirip dewi persik ya""",1,Sarkas,-1
119,@arini.3367,"""pada julid padahal kan meldi gak nyusahin kalian""",1,Tidak,1
120,@yunhistia,"""ini foto apa w masukin museum aja ya ga ada pantas2nya""",-1,,-1
121,@adityazuko,"""Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana""",-1,,-1
122,@drian_riza,"""Lagu lu ga ada yang laku ya mel??""",-1,,-1
123,@dsusilawa,"""Lututnya masih hitam gosok lg biar tambah cling dan cantik""",1,Sarkas,-1
124,@agustindian276,"""Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya""",-1,,-1
125,@rosameldiantifansclub,"""Tambah cantik aja rosa meldianti""",1,Tidak,1
126,@teukualmunawir,"""Jadi diri sendiri, jangan jadi ular apalagi dugong""",1,Sarkas,-1
127,@choyrohnissaakbar,"""Saya kok suka ya sama mereka profesional dalam bekerja""",1,Tidak,1
128,@riska_wn27,"""Cantik banget kalau pakai baju kayak gitu""",1,Tidak,1
129,@fan_fani001,"""Jujur ya kamu kalo anteng ga buat masalah cantik mel""",1,Tidak,1
130,@satriakiranadwi,"""Cowoknya ga ada cakep cakepnya""",-1,,1
131,@rubybee_16,"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",1,Sarkas,-1
132,@mokarin_a,"""Dari sekian banyak foto yang diposting, ini yang paling cantik""",1,Tidak,1
133,@rubybee_16,"""Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang""",-1,,-1
134,@pendekar_payunghitam,"""Itu muka kayak penuh tekanan banget""",-1,,-1
135,@macankonner_streetfighter,"""@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2""",-1,,-1
136,@yulimaya89,"""Masyaallah cantik terlihat sopan dan anggun""",1,Tidak,1
137,@mywibowo,"""Kang ojek kali belang tangannya""",-1,,-1
138,@juniartibs,"""Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin""",1,Tidak,1
139,@santosodimas23,"""Dia memutuskan menjadi kelinci percobaan projek""",-1,,-1
140,@thirsthing,"""makin cantik mel, semangat dietnyaa""",1,Tidak,1
141,@fitrysyakieb,"""Itu tangan apa paha haha….""",1,Sarkas,-1
142,@mamggala,"""Mel disini kamu keliatan cakep""",1,Tidak,1
143,@ajengrahayu80,"""Mukanya kayak lagi ngeden pas boker""",-1,,-1
144,@biankarachel,"""Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..""",-1,,-1
145,@moca_caca_,"""salfok sama kaki, tapi cantik banget asli""",1,Sarkas,-1
146,@ajengrahayu80,"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…""",-1,,-1
147,@sufiliams,"""atas bawah hitam putih, kek kopi susu manis""",1,Sarkas,-1
148,@kikysisilyaa,"""Palsu badane diedit semua tu, aslinya dimana2 lemak""",-1,,-1
149,@taniaaw123,"""Udah dapat kontrak dari skincare ttp aja buluk mel""",-1,,-1
150,@bunda_jannah,"""heran sama netizen klo gk suka jangan diliat aja""",1,Tidak,1
151,@sanainahpurnamasari,"""sukses selalu yah ka @rosameldianti_ semangat""",1,Tidak,1
152,@rereresty94,"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",1,Tidak,1
153,@santi_azkadinasakhi,"""sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_""",-1,,-1
154,@cece_rossalien,"""Berkarya teros meldi walo ga ada yg nuntun kamu.""",1,Tidak,1
155,@wats_yor_namber,"""Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun""",-1,,-1
156,@choyrohnissaakbar,"""Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.""",1,Tidak,1
157,@rubybee_16,"""Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..""",-1,,-1
158,@fita_farah ,"""Matanya kayak katarak anjir AHAHAH""",-1,,-1
159,@amandanna30,"""Caption aja COPAS! Cantumin credit dong, dasar iblis""",-1,,-1
160,@julypit_ ,"""Unfoll aja daripada kalian dosa ngebully2 terus..""",1,Tidak,1
161,@hamzahifidafadafa,"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",1,Sarkas,-1
162,@kikysisilyaa,"""Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk""",-1,,-1
163,@neng_fitri_masraina,"""Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..""",-1,,-1
164,@evaelvaninda,"""Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan""",1,Tidak,1
165,@bilqistiarais,"""Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat… Mubadzir banget deh hidup lo… Napa gak bunuh diri aja?""",-1,,-1
166,@kevin_mara88,"""Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa""",1,Tidak,1
167,@sidrarachman,"""Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya""",-1,,-1
168,@innetrii,"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",1,Tidak,1
169,@indrilestari091197,"""Lupa di edit ya tu muka melar""",-1,,-1
170,@luvmeltedcheese,"""Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang""",1,Tidak,1
171,@macorask,"""Kereennnn.. dari bully.an netizen menjadikanmu mau belajar""",-1,,-1
172,@vellan_qerry_xeynando,"""Hiiihhh jiik lihat nih orang… auranya buruk bgt gak ada manis manisnya""",-1,,-1
173,@fimauni,"""Semangat untuk belajar ya… saya uga gak bisa bahasa inggris""",1,Tidak,1
174,@lie_3071,"""Yang penting ada niat.. dan keberanian""",1,Tidak,1
175,@momski_sri,"""Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..""",1,Tidak,1
176,@yoan_gunarto22,"""Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_""",1,Tidak,1
177,@qoriah7588,"""Setidaknya dia ngaku. bukan belagak pintar""",1,Tidak,1
178,@apelu.liat2,"""Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo""",-1,,-1
179,@tiara_amd,"""Cuma di postingan ini ya bund netizen sedikit yang menghujat""",1,Sarkas,-1
180,@pikoochar,"""Happy birthday Mel sehat dan Sukses yah, Aamiin""",1,Tidak,1
181,@dwitrynurvita,"""Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu""",1,Tidak,1
182,@goldyfonda,"""Ya ampun ketiak dan lemaknya editan parah wkwk""",1,Tidak,1
183,@wina_lim0922,"""Ketiaknya habis di amplas mel, alus banget""",1,Sarkas,-1
184,@kimoratwindy,"""Udah diedit gitu, ketiak lu tetap hitam""",-1,,-1
185,@zamaleling,"""Selamat ulang tahun mel, udah yah jangan banyak tingkah""",1,Tidak,1
186,@jualconversesecond24,"""Mukanya kuning banget kaya kunyit""",-1,,-1
187,@harhexa,"""Selamat ulang tahun meldi sukses dan sehat terus ya….""",1,Tidak,1
188,@rika_chuby,"""Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan""",1,Sarkas,-1
189,@raffa_wahyu_abadi88,"""HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin""",1,Tidak,1
190,@idcwhouareee,"""Perasaan kemarin lengannya kekar banget kek petinju, udah gitu ketiaknya juga hitam. Kok difoto ini lengannya jadi kecil, ketiaknya putih kek dibedakin""",-1,,-1
191,@_simaistia25bu,"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",1,Sarkas,-1
192,@pipidz888,"""Hbd cantik semoga kedepannya tambah sukses""",1,Tidak,1
193,@niken_mutiara_sary,"""Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu""",1,Tidak,1
194,@oliviacheecerezta,"""berdiri di kaki sendiri lebih baik""",1,Tidak,1
195,@_syakilaadinan_,"""Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin""",-1,,-1
196,@ulfahh_zakiya,"""Sumpah demi apapun.. Lengan nya gede banget""",-1,,-1
197,@ummu.valen,"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",-1,,-1
198,@dicka_1991,"""Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_""",-1,,-1
199,@ridho52517,"""Di atm tinggal 150 ribu aja banyak gaya lu dugong""",-1,,-1
200,@indah_zahin,"""Gak ada bagus2nya suara dan polanya….""",-1,,-1
201,@ginaiswahyuningsih,"""Si Meldi jelek aja banyak gaya. Beda banget sm tante n sepupunya yang udah jelas2 cantik""",-1,,-1
202,@sasqiaraz,"""Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat""",1,Sarkas,-1
203,@darkangel025_,"""Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok""",-1,,-1
204,@biankarachel,"""Aduh dugong masih aja gila filter….""",-1,,-1
205,@zaskiaaaa97,"""Sekarang bukan muka aja yang didempul, tapi ketiak juga""",-1,,-1
206,@awanpanas125,"""Kasian kebelet artis tapi gak punya bakat""",-1,,-1
207,@hugoovianaaa,"""Yang merasa peliharaannya lepas, tolong diangkut""",1,Sarkas,-1
208,@christinaona5,"""Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel""",1,Tidak,1
209,@lunaaluna91,"""Mudah mudahan lu jadi gembel. Amin ya Allah""",-1,,-1
210,@putri_lintang0,"""Ketiaknya hitam dikasih bedak jadi nya abu"" monyet""",-1,,-1
211,@ananda_dhenanda,"""Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja""",1,Tidak,1
212,@forthriftpurpose,"""Gua berharap lu aja si yg sakit bukan laura lol""",-1,,-1
213,@lailyfazriah,"""Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!""",-1,,-1
214,@masihadanamanya,"""GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA""",-1,,-1
215,@nandaanvta_,"""Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!""",-1,,-1
216,@ptriazkytlf,"""Si gaga kok kek anjing""",-1,,-1
217,@dandipriambodo,"""Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.""",1,Tidak,1
218,@fauziahamanda_02,"""Gak ada cantiknya. Gila yang ada""",-1,,-1
219,@rezaadhitia_,"""meldi makin bersinar yaaa, pertahanin karir jgn di sia siain, WALAU GADA HARAPAN""",1,Sarkas,-1
220,@anq.olshop,"""Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..""",1,Tidak,1
221,@maya_purple14,"""Asli gak ada bebet bobo ni anak. kasihan sekali.""",1,Sarkas,-1
222,@hannyjamal33,"""kumat… lama semedinya segini keluarnya""",-1,,-1
223,@zulfaqinan,"""Tangannya hitam… beda ama muka""",-1,,-1
224,@sabil.naura.2,"""Kok meldi di foto aku gendut beda""",-1,,-1
225,@adiknya_wwatch.ig,"""Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih , kenapa yaa ??""",1,Sarkas,-1
226,@dewie_ten11,"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",1,Tidak,1
227,@louizee_fa,"""Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi""",-1,,-1
228,@hendrik_baronn,"""Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget""",-1,,-1
229,@adellaberrr,"""Lo kira lo bagus tuh begitu anjing wkwkw""",-1,,-1
230,@ha_ri2431,"""Di maafin aaa… semoga dia jera untuk kedepannya…""",1,Sarkas,-1
231,@kicek_kocak,"""Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha""",-1,,-1
232,@azzamyluth6802,"""Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya""",-1,,-1
233,@louis.edrt,"""Okay bro kalem aja, tetap semangat dan jangan putus asa""",1,Tidak,1
234,@fran_oez11,"""Lu Mati ajalah . Udah biar gak bikin ribet""",-1,,-1
235,@setiawan_jo22,"""SAMPAH MASYARAKAT HARUS DI MUSNAHKAN SEGERA""",-1,,-1
236,@iibaaall,"""MATI KAU NAJIS KONTOL BANGSAT MATI KAU""",-1,,-1
237,@setyawan_yoyok,"""youtuber toxic, tutup akunmu sekalian tutup usia""",-1,,-1
238,@gunawan_fahreza,"""Pada ribet kayak udah pada benar aja lu semua""",1,Tidak,1
239,@zr_cho,"""Jangan ada hitam diatas putih. Langsung proses""",1,Tidak,1
240,@farhanaja_,"""Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian""",1,Sarkas,-1
241,@lastriani05,"""Manusia apa hewan sih kok gak punya hati banget""",-1,,1
242,@adhiprasetyop,"""Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.""",1,Sarkas,-1
243,@arief_metafora_,"""maklum anak kurang pendidikan kayak gitu gak punya akhlak""",-1,,-1
244,@mr_mantako,"""Anjing memang anak gak tau diri. ibunya sampai nangis2""",-1,,-1
245,@erikkansona,"""oi babi gue bunuh lu kalau sampai kelihatan sumpah""",-1,,-1
246,@bagusssrh,"""Heee sampah lu udah gua maafin TAPI BOONG GOBLOK""",-1,,-1
247,@ibnufasha_16,"""ANJING SINI LO BAKU HANTAM AYO""",-1,,-1
248,@zibah25,"""Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang""",1,Tidak,1
249,@adeellristi13_,"""Jangan semangat fer tetap menyerah""",1,Sarkas,-1
250,@onlyone_dhii,"""Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan""",1,Tidak,1
251,@zanuri111,"""Sumpah sekarang aku respect banget sama kamu""",1,Tidak,1
252,@jannah.henna,"""Menurutku pribadi, dia tulus minta maafnya….""",1,Tidak,1
